score,kind,file,function,start_line,evidence_line,details,excerpt
75,unsynced-global-write,process_system.c,abi_process_reset,2072,2084,"writes global state without lock, once primitive, or atomic primitive",int64_t abi_process_reset(void) { || int index; || for (index = 0; index < ABI_PROCESS_MAX_PROCESSES; index++) {
75,unsynced-global-write,stdlib_abi.c,abi_fs_fail,1395,1400,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_fs_fail(const char* operation, const char* path) { || int error_code = errno; || char message[512];"
75,unsynced-global-write,stdlib_abi.c,abi_fs_ok,1424,1426,"writes global state without lock, once primitive, or atomic primitive","static int64_t abi_fs_ok(void) { || g_kain_native_fs_last_status = 0; || abi_fs_copy_message(g_kain_native_fs_last_error_kind, sizeof(g_kain_native_fs_last_error_kind), ""ok"");"
55,teardown-after-unlock,actor.c,kain_actor_reply_port_state_complete_copied,606,689,tears down synchronization or heap state after unlocking; review lifetime assumptions,"static int kain_actor_reply_port_state_complete_copied( || KainActorReplyPortState* state, || const KainActorRef* expected_actor_ref,"
55,teardown-after-unlock,actor.c,kain_actor_reply_port_state_reset_with_actor_ref,700,740,tears down synchronization or heap state after unlocking; review lifetime assumptions,"static void kain_actor_reply_port_state_reset_with_actor_ref( || KainActorReplyPortState* state, || const KainActorRef* actor_ref"
55,teardown-after-unlock,actor.c,kain_actor_reply_port_state_release,935,960,tears down synchronization or heap state after unlocking; review lifetime assumptions,static void kain_actor_reply_port_state_release(KainActorReplyPortState* state) { || int should_destroy = 0; || void* reply_data_to_free = NULL;
55,teardown-after-unlock,actor.c,kain_actor_reply_port_state_prepare_direct_token,1130,1189,tears down synchronization or heap state after unlocking; review lifetime assumptions,"static int kain_actor_reply_port_state_prepare_direct_token( || KainActorReplyPortState* state, || KainActorRef* out_actor_ref"
55,teardown-after-unlock,actor.c,kain_actor_runtime_shutdown,1359,1432,tears down synchronization or heap state after unlocking; review lifetime assumptions,/* || * Shutdown Actor Runtime || *
55,teardown-after-unlock,actor.c,kain_actor_thread_proc,1880,2370,tears down synchronization or heap state after unlocking; review lifetime assumptions,static DWORD WINAPI kain_actor_thread_proc(LPVOID param) { || #else || static void* kain_actor_thread_proc(void* param) {
55,teardown-after-unlock,async.c,kain_async_timer_thread_proc,857,1209,tears down synchronization or heap state after unlocking; review lifetime assumptions,static DWORD WINAPI kain_async_timer_thread_proc(LPVOID parameter) { || KainAsyncTimerRecord* timer = (KainAsyncTimerRecord*)parameter; || #else
55,teardown-after-unlock,attrition.c,kain_attrition_heap_release,559,567,tears down synchronization or heap state after unlocking; review lifetime assumptions,"int kain_attrition_heap_release(void* raw_header, size_t total_bytes) { || size_t slot; || KainAttritionQuarantineEntry* entry;"
55,teardown-after-unlock,attrition.c,kain_attrition_note_rc_free,732,733,tears down synchronization or heap state after unlocking; review lifetime assumptions,void kain_attrition_note_rc_free(size_t total_bytes) { || if (!kain_attrition_enabled_fast()) { || return;
55,teardown-after-unlock,core.c,mq_pop,1844,1878,tears down synchronization or heap state after unlocking; review lifetime assumptions,"int mq_pop(void* mq_ptr, long long* out_tag, void** out_data) { || MessageQueue* mq = (MessageQueue*)mq_ptr; || MessageNode* node;"
55,teardown-after-unlock,fanout.c,kain_fanout_runtime_shutdown,338,354,tears down synchronization or heap state after unlocking; review lifetime assumptions,void kain_fanout_runtime_shutdown(void) { || KainFanoutRuntime* runtime = &g_kain_fanout_runtime; || if (!runtime->initialized) {
55,teardown-after-unlock,machine_stones.c,kain_machine_pulse_stop_all,440,447,tears down synchronization or heap state after unlocking; review lifetime assumptions,"void kain_machine_pulse_stop_all(void) { || uint32_t i; || atomic_store_explicit(&g_machine_pulse_stop_requested, 1, memory_order_release);"
55,teardown-after-unlock,ownership.c,kain_ownership_decay_slot_unlocked,790,812,tears down synchronization or heap state after unlocking; review lifetime assumptions,"static int kain_ownership_decay_slot_unlocked(void* ptr, int slot, int reclaim_helper_slot) { || if (slot < 0) { || return kain_ownership_fail(KAIN_OWNERSHIP_ERR_NOT_FOUND);"
