risk_score,file,function,start_line,end_line,body_lines,size_terms,guard_hits,lock_hits,once_hits,atomic_hits,alloc_hits,destroy_hits,arithmetic_lines,pointer_lines,global_write_lines,init_flag_lines,count_like_writes,token_density,reasons,signature,excerpt
145,fanout.c,kain_fanout_runtime_shutdown,338,368,31,count|index|size,,,,,memset(,CloseHandle(|DeleteCriticalSection(|pthread_cond_destroy(|pthread_mutex_destroy(,16,14,2,1,2,13,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | writes global state without obvious synchronization | count-like increment with no lock or atomic | destructive teardown after lock release,void kain_fanout_runtime_shutdown(void) {,void kain_fanout_runtime_shutdown(void) { || KainFanoutRuntime* runtime = &g_kain_fanout_runtime; || if (!runtime->initialized) {
135,contract.c,contract_analyze_services,361,1016,656,bytes|count|cursor|mask|path|size,,,,,malloc(|snprintf(,free(,185,133,7,2,2,148,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static void contract_analyze_services( const char* array_start, const char* array_end, KainRuntimeContractBundle* bundle ) {","static void contract_analyze_services( || const char* array_start, || const char* array_end,"
135,fanout.c,kain_fanout_runtime_init,200,273,74,count|generation|index|size,,,,,memset(,CloseHandle(|DeleteCriticalSection(|pthread_cond_destroy(|pthread_mutex_destroy(,50,39,4,2,4,36,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | writes global state without obvious synchronization | count-like increment with no lock or atomic,static int kain_fanout_runtime_init(void) {,static int kain_fanout_runtime_init(void) { || KainFanoutRuntime* runtime = &g_kain_fanout_runtime; || if (runtime->initialized) {
115,host_bridge.c,kain_host_bridge_install_module,163,217,55,count|mask|size,,,,,memset(,,17,7,0,1,1,6,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization | count-like increment with no lock or atomic,"int kain_host_bridge_install_module( KainHostBridgeRegistry* registry, const KainServiceRegistry* runtime_services, const KainHostBridgeModuleDescriptor* descriptor, unsigned int available_capability_mask, KainDiagnostic* diag ) {","int kain_host_bridge_install_module( || KainHostBridgeRegistry* registry, || const KainServiceRegistry* runtime_services,"
110,attrition.c,kain_attrition_heap_release,559,607,49,bytes|capacity|count|header|size|slot,,,,,memset(,free(,10,7,11,0,1,32,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic | destructive teardown after lock release,"int kain_attrition_heap_release(void* raw_header, size_t total_bytes) {","int kain_attrition_heap_release(void* raw_header, size_t total_bytes) { || size_t slot; || KainAttritionQuarantineEntry* entry;"
100,attrition.c,kain_attrition_fragmentation_noise_locked,198,239,42,allocation|bytes|capacity|count|size|slot,,,,,malloc(|memset(,free(,5,6,14,0,1,42,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,static void kain_attrition_fragmentation_noise_locked(void) {,static void kain_attrition_fragmentation_noise_locked(void) { || uint64_t max_bytes = g_kain_attrition_state.config.fragmentation_noise_max_bytes; || void* noise_block;
100,input_system.c,abi_input_bind_action,404,433,30,capacity|count|size,,,,,memset(,,16,9,2,0,1,10,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_bind_action( int64_t session_id, const char* source_kind, const char* event_kind, const char* code, const char* action ) {","int64_t abi_input_bind_action( || int64_t session_id, || const char* source_kind,"
100,input_system.c,abi_input_bind_axis,434,464,31,capacity|count|size,,,,,memset(,,16,9,2,0,1,10,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_bind_axis( int64_t session_id, const char* source_kind, const char* event_kind, const char* code, const char* axis, double scale ) {","int64_t abi_input_bind_axis( || int64_t session_id, || const char* source_kind,"
100,input_system.c,abi_input_push_event,465,505,41,capacity|count|size,,,,,memset(,,20,12,2,0,1,12,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_push_event( int64_t session_id, const char* source_kind, const char* source_id, const char* event_kind, const char* code, double value, const char* text, double confidence ) {","int64_t abi_input_push_event( || int64_t session_id, || const char* source_kind,"
100,input_system.c,abi_input_push_agent_intent,506,539,34,capacity|count|size,,,,,memset(,,18,12,2,0,1,12,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_push_agent_intent( int64_t session_id, const char* source_id, const char* action, const char* command_text, double confidence ) {","int64_t abi_input_push_agent_intent( || int64_t session_id, || const char* source_id,"
100,input_system.c,abi_input_begin_frame,540,564,25,count|index|size,,,,,memcpy(,,14,13,2,0,1,14,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_begin_frame(int64_t session_id, double delta_ms) {","int64_t abi_input_begin_frame(int64_t session_id, double delta_ms) { || KainNativeInputSession* session = abi_input_session(session_id); || int64_t i;"
100,input_system.c,abi_input_replay_trace,672,719,48,allocation|capacity|count|size,,,,,malloc(|memset(,free(,21,16,2,0,1,13,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_input_replay_trace(int64_t session_id, const char* trace_text) {","int64_t abi_input_replay_trace(int64_t session_id, const char* trace_text) { || char* buffer; || char* line;"
100,json.c,json_clone_value,216,261,46,capacity|count|size,,,,,calloc(,,24,22,1,0,2,18,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,static KainJsonValue* json_clone_value(const KainJsonValue* value) {,static KainJsonValue* json_clone_value(const KainJsonValue* value) { || KainJsonValue* out; || int64_t i;
100,net_system.c,abi_net_send_raw_http_client,1436,1571,136,allocation|body|bytes|capacity|count|header|index|length|path|size,,,,,memset(|snprintf(,free(,37,13,2,0,1,98,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static int64_t abi_net_send_raw_http_client(KainNativeHttpRequest* request, const KainNativeParsedUrl* url) {","static int64_t abi_net_send_raw_http_client(KainNativeHttpRequest* request, const KainNativeParsedUrl* url) { || SOCKET socket_handle; || unsigned char* response_bytes = 0;"
100,net_system.c,abi_net_send_winhttp_client,1591,1759,169,allocation|body|bytes|capacity|count|header|index|length|path|size|word,,,,,malloc(|snprintf(,CloseHandle(|free(,24,12,3,0,1,77,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static int64_t abi_net_send_winhttp_client(KainNativeHttpRequest* request, const KainNativeParsedUrl* url) {","static int64_t abi_net_send_winhttp_client(KainNativeHttpRequest* request, const KainNativeParsedUrl* url) { || HINTERNET session = 0; || HINTERNET connection = 0;"
100,realtime.c,realtime_count_array_objects,235,3102,2868,bytes|capacity|count|cursor|length|path|size|slot,,,,,malloc(|memcpy(|snprintf(,free(,1045,820,34,0,44,617,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static int realtime_count_array_objects( const char* array_start, const char* array_end ) {","static int realtime_count_array_objects( || const char* array_start, || const char* array_end"
100,stdlib_abi.c,abi_patch_record_i64,1190,1208,19,capacity|count|path|size,,,,,memset(,,13,8,3,0,1,12,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t abi_patch_record_i64(const char* patch_name, const char* path, int64_t old_value, int64_t new_value) {","int64_t abi_patch_record_i64(const char* patch_name, const char* path, int64_t old_value, int64_t new_value) { || KainNativePatchJournalEntry* entry; || /* Proof: runtime/native/src/core/z3/proofs/native-stdlib-patch-journal-count-stays-within-capacity.yaml */"
90,entangle.c,entangle_registry_register,31,77,47,capacity|count|size,,,,,memset(,,7,1,3,0,1,10,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int entangle_registry_register( const char* authority, const char* mirror, const char* policy, const char* type_name ) {","int entangle_registry_register( || const char* authority, || const char* mirror,"
80,actor.c,kain_actor_reply_port_state_try_copy_completed_owner_inline,838,863,26,bytes|capacity|size,,,,,memcpy(,,10,7,1,0,0,17,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,"static int kain_actor_reply_port_state_try_copy_completed_owner_inline( KainActorReplyPortState* state, void* out_reply_data, size_t out_reply_capacity, size_t* out_reply_size ) {","static int kain_actor_reply_port_state_try_copy_completed_owner_inline( || KainActorReplyPortState* state, || void* out_reply_data,"
80,actor.c,kain_actor_mailbox_append_copied_locked,1612,1663,52,bound|capacity|count|size,,,,,malloc(|memcpy(,,27,17,0,0,1,13,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"static int kain_actor_mailbox_append_copied_locked( KainActorMailbox* mailbox, const KainActorMessage* message ) {","static int kain_actor_mailbox_append_copied_locked( || KainActorMailbox* mailbox, || const KainActorMessage* message"
80,attrition.c,kain_attrition_record_event_locked,185,197,13,capacity|count|index,,,,,,,9,7,4,0,1,7,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static void kain_attrition_record_event_locked(uint32_t kind, uint32_t aux, uint64_t arg0, uint64_t arg1, uint64_t arg2) {","static void kain_attrition_record_event_locked(uint32_t kind, uint32_t aux, uint64_t arg0, uint64_t arg1, uint64_t arg2) { || KainAttritionEvent* event = &g_kain_attrition_state.events[g_kain_attrition_state.event_next_index]; || event->event_index = g_kain_attrition_state.event_write_count + 1u;"
80,contract.c,contract_add_warning,284,301,18,count|size,,,,,,,6,5,2,0,1,5,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static void contract_add_warning( KainRuntimeContractValidation* validation, const char* warning ) {","static void contract_add_warning( || KainRuntimeContractValidation* validation, || const char* warning"
80,core.c,kain_string_concat_parts,415,458,44,count|cursor|index|length|size,overflow,,,,memcpy(,,7,6,1,0,2,48,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static char* kain_string_concat_parts(const char* const* parts, size_t count) {","static char* kain_string_concat_parts(const char* const* parts, size_t count) { || size_t lengths[10]; || size_t total_length = 0u;"
80,core.c,kain_map_rebuild_tiny_dispatch,1075,1142,68,capacity|count|index|length|mask|probe|size|slot,,,,,memcpy(|memset(,,20,23,0,0,2,46,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,static void kain_map_rebuild_tiny_dispatch(KainMap* map) {,static void kain_map_rebuild_tiny_dispatch(KainMap* map) { || uint64_t fingerprints[KAIN_MAP_TINY_MAX_COUNT]; || uint8_t entry_indices[KAIN_MAP_TINY_MAX_COUNT];
80,diagnostics.c,kain_diagnostic_collector_add,157,190,34,count|size,,,,,memcpy(,,13,7,0,0,4,8,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"int kain_diagnostic_collector_add( KainDiagnosticCollector* collector, const KainDiagnostic* diag ) {","int kain_diagnostic_collector_add( || KainDiagnosticCollector* collector, || const KainDiagnostic* diag"
80,graphics_system.c,abi_graphics_decode_hex,324,370,47,bytes|count|index|length|size,,,,,malloc(,free(,14,4,0,0,1,44,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"static int64_t abi_graphics_decode_hex( const char* bytes_hex, uint8_t** out_bytes ) {","static int64_t abi_graphics_decode_hex( || const char* bytes_hex, || uint8_t** out_bytes"
80,graphics_system.c,abi_graphics_session_create,464,508,45,capacity|index|size,,,,,memset(,,5,15,8,0,0,26,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,"int64_t abi_graphics_session_create( const char* app_name, int64_t width, int64_t height ) {","int64_t abi_graphics_session_create( || const char* app_name, || int64_t width,"
80,graphics_system.c,abi_graphics_buffer_create,661,723,63,capacity|count|index|length|size|stride,,,,,memset(,,23,14,0,0,1,37,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"int64_t abi_graphics_buffer_create( int64_t session_id, const char* kind, const char* label, int64_t byte_length, int64_t element_stride ) {","int64_t abi_graphics_buffer_create( || int64_t session_id, || const char* kind,"
80,graphics_system.c,abi_graphics_shader_register_bytes,801,878,78,bytes|capacity|count|index|length|payload|size,,,,,memset(,free(,29,19,0,0,1,47,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"static int64_t abi_graphics_shader_register_bytes( int64_t session_id, const char* key, const char* stage, const char* entry_point, const char* source, uint8_t* owned_bytes, int64_t byte_length ) {","static int64_t abi_graphics_shader_register_bytes( || int64_t session_id, || const char* key,"
80,graphics_system.c,abi_graphics_mesh_create,968,1030,63,capacity|count|index|size,,,,,memset(,,20,13,0,0,1,44,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"int64_t abi_graphics_mesh_create( int64_t session_id, const char* label, int64_t vertex_buffer_id, int64_t index_buffer_id, int64_t vertex_count, int64_t index_count ) {","int64_t abi_graphics_mesh_create( || int64_t session_id, || const char* label,"
80,graphics_system.c,abi_graphics_pipeline_create,1049,1128,80,capacity|count|index|size,,,,,memset(,,27,16,0,0,1,27,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"int64_t abi_graphics_pipeline_create( int64_t session_id, const char* label, int64_t vertex_shader_id, int64_t fragment_shader_id, const char* backend_id ) {","int64_t abi_graphics_pipeline_create( || int64_t session_id, || const char* label,"
80,graphics_system.c,abi_graphics_draw_mesh,1141,1184,44,capacity|count|size,,,,,memset(,,15,8,0,0,1,16,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"int64_t abi_graphics_draw_mesh( int64_t session_id, int64_t pipeline_id, int64_t mesh_id, int64_t instance_count ) {","int64_t abi_graphics_draw_mesh( || int64_t session_id, || int64_t pipeline_id,"
80,host_bridge.c,kain_host_bridge_validate_module,101,162,62,count|index|mask|size,,,,,snprintf(,,13,7,0,0,1,11,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"static int kain_host_bridge_validate_module( const KainServiceRegistry* runtime_services, const KainHostBridgeModuleDescriptor* descriptor, unsigned int available_capability_mask, KainDiagnostic* diag ) {","static int kain_host_bridge_validate_module( || const KainServiceRegistry* runtime_services, || const KainHostBridgeModuleDescriptor* descriptor,"
80,input_system.c,abi_input_session_create,367,382,16,capacity|size,,,,,memset(,,4,7,3,0,0,5,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,int64_t abi_input_session_create(const char* name) {,int64_t abi_input_session_create(const char* name) { || int i; || for (i = 0; i < ABI_INPUT_MAX_SESSIONS; i++) {
80,json.c,json_value_destructor,262,300,39,capacity|count,,,,,,free(,25,25,1,0,2,6,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,static void json_value_destructor(void* ptr) {,static void json_value_destructor(void* ptr) { || KainJsonValue* value = (KainJsonValue*)ptr; || int64_t i;
80,json.c,json_write_value,523,577,55,count|size,,,,,snprintf(,,12,13,0,0,2,4,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"static void json_write_value(JsonBuffer* buffer, const KainJsonValue* value) {","static void json_write_value(JsonBuffer* buffer, const KainJsonValue* value) { || int64_t i; || char number[64];"
80,json.c,json_parse_value_inner,750,943,194,count|cursor|index|mask,,,,,,free(,60,36,3,0,1,19,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,static KainJsonValue* json_parse_value_inner(KainJsonParser* parser) {,static KainJsonValue* json_parse_value_inner(KainJsonParser* parser) { || char* text; || json_skip_ws(parser);
80,machine_stones.c,kain_machine_pulse_start,398,439,42,count|slot,,,,,,,9,8,1,0,1,15,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,"int64_t kain_machine_pulse_start( uint64_t pulse_token, uint64_t interval_ns, uint64_t jitter_ns, KainMachinePulseFireFn fire ) {","int64_t kain_machine_pulse_start( || uint64_t pulse_token, || uint64_t interval_ns,"
80,net_system.c,abi_net_dispatch_route,1240,1273,34,count|index|path|payload|size,,,,,memset(|snprintf(,,17,16,0,0,1,18,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"static void abi_net_dispatch_route(KainNativeHttpServer* server, KainNativeHttpRequest* request) {","static void abi_net_dispatch_route(KainNativeHttpServer* server, KainNativeHttpRequest* request) { || int64_t index; || if (server == 0 || request == 0) {"
80,net_system.c,abi_net_store_http_response,1391,1435,45,allocation|body|capacity|count|header|index|length|size,abi_net_size_add_overflow|overflow,,,,malloc(|memcpy(,,18,11,1,0,2,58,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static int64_t abi_net_store_http_response( int64_t status_code, const char* protocol_name, const KainNativeNetHeader* headers, int64_t header_count, const unsigned char* body, size_t body_length ) {","static int64_t abi_net_store_http_response( || int64_t status_code, || const char* protocol_name,"
80,net_system.c,abi_net_reset,1761,1813,53,body|index|size,,,,,memset(,free(,5,12,12,0,0,52,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,int64_t abi_net_reset(void) {,int64_t abi_net_reset(void) { || size_t index; || for (index = 0u; index < ABI_NET_MAX_CONNECTIONS; ++index) {
80,net_system.c,abi_http_server_route_actor,2286,2304,19,capacity|count|path|size,,,,,memset(,,12,7,0,0,1,15,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"int64_t abi_http_server_route_actor(int64_t server_id, const char* method, const char* path, int64_t actor_id, const char* message_kind) {","int64_t abi_http_server_route_actor(int64_t server_id, const char* method, const char* path, int64_t actor_id, const char* message_kind) { || KainNativeHttpServer* server = abi_net_server(server_id); || KainNativeHttpRoute* route;"
80,process_system.c,abi_process_launch_standard_process,1656,1862,207,count|size|word,,,,,memset(,CloseHandle(|free(,23,16,2,0,0,5,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,"static int64_t abi_process_launch_standard_process( const KainNativeProcessSpec* spec, KainNativeProcessHandle* process ) {","static int64_t abi_process_launch_standard_process( || const KainNativeProcessSpec* spec, || KainNativeProcessHandle* process"
80,process_system.c,abi_process_launch_pty_process,1863,2070,208,bytes|count|size,,,,,malloc(|memset(,CloseHandle(|free(,16,10,2,0,0,16,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,"static int64_t abi_process_launch_pty_process( const KainNativeProcessSpec* spec, KainNativeProcessHandle* process, int64_t columns, int64_t rows ) {","static int64_t abi_process_launch_pty_process( || const KainNativeProcessSpec* spec, || KainNativeProcessHandle* process,"
80,process_system.c,abi_process_spec_create,2174,2220,47,capacity|index|mask|size|slot,,,,,memset(,,15,10,4,0,0,19,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,int64_t abi_process_spec_create(const char* executable) {,int64_t abi_process_spec_create(const char* executable) { || KainNativeProcessSpec* spec = 0; || uint32_t slot;
80,reflection.c,json_parse,682,1760,1079,bytes|capacity|count|length|path|payload|size,,,,,memcpy(|realloc(,,212,122,0,0,3,231,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | count-like increment with no lock or atomic,"/* Minimal JSON parser implementation */ static int json_parse(JsonParser* parser, const char* json) {","/* Minimal JSON parser implementation */ || static int json_parse(JsonParser* parser, const char* json) { || parser->json = json;"
80,stdlib_abi.c,abi_patch_commit,1209,1223,15,count|index,,,,,,,7,5,3,0,1,6,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | writes global state without obvious synchronization | count-like increment with no lock or atomic,int64_t abi_patch_commit(const char* patch_name) {,int64_t abi_patch_commit(const char* patch_name) { || int64_t committed = 0; || int64_t index;
70,actor.c,kain_actor_reply_port_state_complete_copied,638,731,94,capacity|count|generation|payload|size,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,atomic_,malloc(|memcpy(,free(,38,30,2,0,0,24,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | destructive teardown after lock release,"static int kain_actor_reply_port_state_complete_copied( KainActorReplyPortState* state, const KainActorRef* expected_actor_ref, const void* reply_data, size_t reply_size ) {","static int kain_actor_reply_port_state_complete_copied( || KainActorReplyPortState* state, || const KainActorRef* expected_actor_ref,"
70,actor.c,kain_actor_reply_port_state_reset_with_actor_ref,732,774,43,payload|size,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,memset(,free(,22,19,0,0,0,5,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | destructive teardown after lock release,"static void kain_actor_reply_port_state_reset_with_actor_ref( KainActorReplyPortState* state, const KainActorRef* actor_ref ) {","static void kain_actor_reply_port_state_reset_with_actor_ref( || KainActorReplyPortState* state, || const KainActorRef* actor_ref"
70,actor.c,kain_actor_reply_port_state_prepare_direct_token,1162,1225,64,generation|payload|size,,EnterCriticalSection(|LeaveCriticalSection(|pthread_mutex_lock(|pthread_mutex_unlock(,,,memset(,free(,28,23,0,0,0,21,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | destructive teardown after lock release,"static int kain_actor_reply_port_state_prepare_direct_token( KainActorReplyPortState* state, KainActorRef* out_actor_ref ) {","static int kain_actor_reply_port_state_prepare_direct_token( || KainActorReplyPortState* state, || KainActorRef* out_actor_ref"
70,async.c,kain_async_release_timer_record_locked,483,495,13,index|size|slot|word,,,,,memset(,,5,2,2,0,0,9,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,static void kain_async_release_timer_record_locked(KainAsyncTimerRecord* timer) {,static void kain_async_release_timer_record_locked(KainAsyncTimerRecord* timer) { || uint32_t slot; || uint64_t bit;
70,async.c,kain_async_timer_thread_proc,857,1457,601,allocation|capacity|count|index|mask|size|slot|word,,kain_async_mutex_lock(|kain_async_mutex_unlock(,,atomic_,memset(,CloseHandle(|free(,167,109,24,0,8,159,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | dense pointer or indexing traffic | allocation or copy sink with no explicit overflow guard | destructive teardown after lock release,static DWORD WINAPI kain_async_timer_thread_proc(LPVOID parameter) {,static DWORD WINAPI kain_async_timer_thread_proc(LPVOID parameter) { || KainAsyncTimerRecord* timer = (KainAsyncTimerRecord*)parameter; || #else
70,attrition.c,kain_attrition_runtime_copy_events,371,405,35,bound|capacity|count|index|size|slot,,,,,,,5,1,2,0,1,27,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | writes global state without obvious synchronization | count-like increment with no lock or atomic,"size_t kain_attrition_runtime_copy_events(KainAttritionEvent* out_events, size_t max_events) {","size_t kain_attrition_runtime_copy_events(KainAttritionEvent* out_events, size_t max_events) { || size_t available; || size_t count;"
70,host_bridge.c,kain_host_bridge_registry_init,55,62,8,size,,,,,memset(,,3,1,0,1,0,1,touches size/count/capacity vocabulary | allocation or copy sink with no explicit overflow guard | lazy init flag with no obvious synchronization,void kain_host_bridge_registry_init(KainHostBridgeRegistry* registry) {,void kain_host_bridge_registry_init(KainHostBridgeRegistry* registry) { || if (!registry) { || return;
70,input_system.c,abi_input_find_binding,192,209,18,count,,,,,,,6,3,2,0,1,1,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | writes global state without obvious synchronization | count-like increment with no lock or atomic,"static const KainNativeInputBinding* abi_input_find_binding( const KainNativeInputSession* session, const KainNativeInputEvent* event, int is_axis ) {","static const KainNativeInputBinding* abi_input_find_binding( || const KainNativeInputSession* session, || const KainNativeInputEvent* event,"
70,json.c,json_register_value,61,74,14,size,,,,,malloc(,,5,2,2,0,0,1,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,static void json_register_value(KainJsonValue* value) {,static void json_register_value(KainJsonValue* value) { || KainJsonRegistryNode* node; || if (!value) {
70,net_system.c,abi_tcp_close,2008,2021,14,index|size|slot,,,,,memset(,,6,1,2,0,0,5,touches size/count/capacity vocabulary | multiple arithmetic sites in one function | allocation or copy sink with no explicit overflow guard | writes global state without obvious synchronization,int64_t abi_tcp_close(int64_t connection_id) {,int64_t abi_tcp_close(int64_t connection_id) { || KainNativeTcpConnection* connection = abi_net_connection(connection_id); || uint32_t slot;
