risk_score,file,function,start_line,end_line,body_lines,size_terms,guard_hits,lock_hits,once_hits,atomic_hits,alloc_hits,destroy_hits,arithmetic_lines,pointer_lines,global_write_lines,init_flag_lines,count_like_writes,token_density,reasons,signature,excerpt
30,process_system.c,abi_process_pty_read_hex,3259,3279,21,bytes,,,,,,,4,1,0,0,0,1,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,const char* abi_process_pty_read_hex(int64_t process_id) {,const char* abi_process_pty_read_hex(int64_t process_id) { || KainNativeProcessHandle* process = abi_process_lookup(process_id); || if (process == 0) {
30,ray_sphere_benchmark.c,abi_ray_sphere_intersection_checksum,39,100,62,count,INT64_MAX,,,,,,6,0,0,0,0,6,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"int64_t abi_ray_sphere_intersection_checksum( int64_t iterations, int64_t ray_count, int64_t sphere_count, int64_t modulus ) {","int64_t abi_ray_sphere_intersection_checksum( || int64_t iterations, || int64_t ray_count,"
30,realtime.c,realtime_find_substring,4,22,19,cursor|size,,,,,,,7,0,0,0,0,7,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static const char* realtime_find_substring( const char* haystack, const char* haystack_end, const char* needle ) {","static const char* realtime_find_substring( || const char* haystack, || const char* haystack_end,"
30,realtime.c,realtime_find_matching,30,54,25,cursor,,,,,,,10,0,0,0,0,6,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static const char* realtime_find_matching( const char* start, const char* end, char open_char, char close_char ) {","static const char* realtime_find_matching( || const char* start, || const char* end,"
30,realtime.c,graphics_bundle_inline_list_contains,93,123,31,cursor|length|size,,,,,,,10,1,0,0,0,18,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static int graphics_bundle_inline_list_contains( const char* list, const char* value ) {","static int graphics_bundle_inline_list_contains( || const char* list, || const char* value"
30,realtime.c,realtime_extract_string_field,181,192,12,size,,,,,,,5,0,0,0,0,1,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static void realtime_extract_string_field( const char* scope_start, const char* scope_end, const char* key, char* out, size_t out_cap ) {","static void realtime_extract_string_field( || const char* scope_start, || const char* scope_end,"
30,reflection.c,kain_reflection_load_from_env,290,335,46,path|payload,,,,,,free(,7,0,0,0,0,9,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"int kain_reflection_load_from_env( const char* env_name, KainReflectionPayload** payload, KainDiagnostic* diag ) {","int kain_reflection_load_from_env( || const char* env_name, || KainReflectionPayload** payload,"
30,reflection.c,kain_reflection_get_schema_version,356,370,15,payload,,,,,,,5,0,0,0,0,5,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"void kain_reflection_get_schema_version( const KainReflectionPayload* payload, unsigned int* major, unsigned int* minor ) {","void kain_reflection_get_schema_version( || const KainReflectionPayload* payload, || unsigned int* major,"
30,reflection.c,kain_reflection_check_schema_compatibility,371,386,16,payload,,,,,,,4,1,0,0,0,4,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,int kain_reflection_check_schema_compatibility( const KainReflectionPayload* payload ) {,int kain_reflection_check_schema_compatibility( || const KainReflectionPayload* payload || ) {
30,scene.c,runtime_append_feature_name,38,57,20,mask|size,,,,,,,4,0,0,0,0,3,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static int runtime_append_feature_name( unsigned long long feature_mask, unsigned long long flag, const char* name, int* emitted_any, char* out, size_t out_cap ) {","static int runtime_append_feature_name( || unsigned long long feature_mask, || unsigned long long flag,"
30,scene.c,runtime_format_feature_mask,264,362,99,mask|size,,,,,,,5,1,0,0,0,13,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"int runtime_format_feature_mask( unsigned long long feature_mask, char* out, size_t out_cap ) {","int runtime_format_feature_mask( || unsigned long long feature_mask, || char* out,"
30,services.c,kain_service_magic_prefix_state,62,81,20,length|word,,,,,,,5,0,0,0,0,10,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static uint64_t kain_service_magic_prefix_state( uint64_t word0, uint64_t word1, uint64_t word2, uint64_t word3, uint64_t length ) {","static uint64_t kain_service_magic_prefix_state( || uint64_t word0, || uint64_t word1,"
30,services.c,kain_service_descriptor_refresh_key_metadata,122,135,14,length,,,,,,,4,3,0,0,0,1,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,static void kain_service_descriptor_refresh_key_metadata( KainServiceDescriptor* descriptor ) {,static void kain_service_descriptor_refresh_key_metadata( || KainServiceDescriptor* descriptor || ) {
30,services.c,kain_service_descriptor_matches_lookup,136,150,15,length|size,,,,,,,4,2,0,0,0,4,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static int kain_service_descriptor_matches_lookup( const KainServiceDescriptor* descriptor, const char* key, size_t key_length, uint64_t key_state ) {","static int kain_service_descriptor_matches_lookup( || const KainServiceDescriptor* descriptor, || const char* key,"
30,services.c,kain_service_registry_find_mutable_unlocked,254,287,34,count|length|size,,,,_count_load(,,,6,2,0,0,1,8,touches size/count/capacity vocabulary | multiple arithmetic sites in one function,"static KainServiceDescriptor* kain_service_registry_find_mutable_unlocked( KainServiceRegistry* registry, const char* canonical_key ) {","static KainServiceDescriptor* kain_service_registry_find_mutable_unlocked( || KainServiceRegistry* registry, || const char* canonical_key"
