status	source_file	line	include_path	new_target_path	classification
dropped-library	clang/lib/Frontend/Rewrite/HTMLPrint.cpp	20	clang/Rewrite/Core/Rewriter.h	(DROPPED) clang/Rewrite/Core/Rewriter.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/HTMLPrint.cpp	21	clang/Rewrite/Frontend/ASTConsumers.h	(DROPPED) clang/Rewrite/Frontend/ASTConsumers.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/InclusionRewriter.cpp	14	clang/Rewrite/Frontend/Rewriters.h	(DROPPED) clang/Rewrite/Frontend/Rewriters.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteMacros.cpp	16	clang/Rewrite/Core/Rewriter.h	(DROPPED) clang/Rewrite/Core/Rewriter.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteMacros.cpp	17	clang/Rewrite/Frontend/Rewriters.h	(DROPPED) clang/Rewrite/Frontend/Rewriters.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteModernObjC.cpp	24	clang/Rewrite/Core/Rewriter.h	(DROPPED) clang/Rewrite/Core/Rewriter.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteModernObjC.cpp	25	clang/Rewrite/Frontend/ASTConsumers.h	(DROPPED) clang/Rewrite/Frontend/ASTConsumers.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteObjC.cpp	13	clang/Rewrite/Frontend/ASTConsumers.h	(DROPPED) clang/Rewrite/Frontend/ASTConsumers.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteObjC.cpp	24	clang/Rewrite/Core/Rewriter.h	(DROPPED) clang/Rewrite/Core/Rewriter.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteTest.cpp	14	clang/Rewrite/Core/TokenRewriter.h	(DROPPED) clang/Rewrite/Core/TokenRewriter.h	mapped
dropped-library	clang/lib/Frontend/Rewrite/RewriteTest.cpp	15	clang/Rewrite/Frontend/Rewriters.h	(DROPPED) clang/Rewrite/Frontend/Rewriters.h	mapped
dropped-library	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	17	clang/ExtractAPI/FrontendActions.h	(DROPPED) clang/ExtractAPI/FrontendActions.h	mapped
dropped-library	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	26	clang/Rewrite/Frontend/FrontendActions.h	(DROPPED) clang/Rewrite/Frontend/FrontendActions.h	mapped
dropped-library	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	29	clang/StaticAnalyzer/Frontend/AnalyzerHelpFlags.h	(DROPPED) clang/StaticAnalyzer/Frontend/AnalyzerHelpFlags.h	mapped
dropped-library	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	30	clang/StaticAnalyzer/Frontend/FrontendActions.h	(DROPPED) clang/StaticAnalyzer/Frontend/FrontendActions.h	mapped
dropped-library	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	40	clang/CIR/Dialect/Passes.h	(DROPPED) clang/CIR/Dialect/Passes.h	mapped
dropped-library	clang/lib/FrontendTool/ExecuteCompilerInvocation.cpp	41	clang/CIR/FrontendAction/CIRGenAction.h	(DROPPED) clang/CIR/FrontendAction/CIRGenAction.h	mapped
needs-review	clang/include/clang/AST/Attr.h	28	clang/Support/Compiler.h		needs-review
needs-review	clang/include/clang/AST/HLSLResource.h	22	clang/Support/Compiler.h		needs-review
needs-review	clang/include/clang/ASTMatchers/ASTMatchersMacros.h	52	clang/Support/Compiler.h		needs-review
needs-review	clang/include/clang/Analysis/FlowSensitive/NoopLattice.h	17	clang/Support/Compiler.h		needs-review
needs-review	clang/include/clang/Basic/ParsedAttrInfo.h	20	clang/Support/Compiler.h		needs-review
needs-review	clang/include/clang/Frontend/FrontendPluginRegistry.h	17	clang/Support/Compiler.h		needs-review
needs-review	clang/include/clang/Frontend/Utils.h	19	clang/Options/OptionUtils.h		needs-review
needs-review	clang/include/clang/Lex/Preprocessor.h	35	clang/Support/Compiler.h		needs-review
needs-review	clang/include/clang/Options/Options.h	46	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Analysis/FlowSensitive/TypeErasedDataflowAnalysis.cpp	36	clang/Support/Compiler.h		needs-review
needs-review	clang/lib/Basic/LangOptions.cpp	15	clang/Config/config.h		needs-review
needs-review	clang/lib/Basic/LangStandards.cpp	10	clang/Config/config.h		needs-review
needs-review	clang/lib/Basic/Version.cpp	15	clang/Config/config.h		needs-review
needs-review	clang/lib/CodeGen/BackendUtil.cpp	41	llvm/LTO/LTOBackend.h		needs-review
needs-review	clang/lib/CodeGen/BackendUtil.cpp	46	llvm/Plugins/PassPlugin.h		needs-review
needs-review	clang/lib/CodeGen/CodeGenAction.cpp	46	llvm/LTO/LTOBackend.h		needs-review
needs-review	clang/lib/CodeGen/CodeGenAction.cpp	48	llvm/Pass.h		needs-review
needs-review	clang/lib/Frontend/CompilerInstance.cpp	23	clang/Config/config.h		needs-review
needs-review	clang/lib/Frontend/CompilerInstance.cpp	51	llvm/Plugins/PassPlugin.h		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	29	clang/Config/config.h		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	40	clang/Options/Options.h		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	264	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	272	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	940	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	1025	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	1037	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	1051	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	1558	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	1853	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2354	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2389	clang/Options/Options.inc		needs-review
needs-review	clang/lib/Frontend/CompilerInvocation.cpp	2517	clang/Options/Options.inc		needs-review
