current_path	target_path	size_bytes	area	action
clang/include/clang/CodeGen/CodeGenABITypes.h	llvm-kain/clang/include/codegen/CodeGenABITypes.h	11229	clang	move
clang/include/clang/CodeGen/CodeGenAction.h	llvm-kain/clang/include/codegen/CodeGenAction.h	2910	clang	move
clang/include/clang/CodeGen/ConstantInitBuilder.h	llvm-kain/clang/include/codegen/ConstantInitBuilder.h	22100	clang	move
clang/include/clang/CodeGen/ConstantInitFuture.h	llvm-kain/clang/include/codegen/ConstantInitFuture.h	3381	clang	move
clang/include/clang/CodeGen/ModuleBuilder.h	llvm-kain/clang/include/codegen/ModuleBuilder.h	5891	clang	move
clang/include/clang/CodeGen/ModuleLinker.h	llvm-kain/clang/include/codegen/ModuleLinker.h	2802	clang	move
clang/include/clang/CodeGen/ObjectFilePCHContainerWriter.h	llvm-kain/clang/include/codegen/ObjectFilePCHContainerWriter.h	1360	clang	move
clang/include/clang/Config/config.h.cmake	(keep-in-place)	3132	clang	keep-in-place
clang/include/clang/Edit/Commit.h	llvm-kain/clang/include/edit/Commit.h	5336	clang	move
clang/include/clang/Edit/EditedSource.h	llvm-kain/clang/include/edit/EditedSource.h	3576	clang	move
clang/include/clang/Edit/EditsReceiver.h	llvm-kain/clang/include/edit/EditsReceiver.h	980	clang	move
clang/include/clang/Edit/FileOffset.h	llvm-kain/clang/include/edit/FileOffset.h	1662	clang	move
clang/include/clang/Edit/Rewriters.h	llvm-kain/clang/include/edit/Rewriters.h	1166	clang	move
clang/include/clang/Frontend/ASTConsumers.h	llvm-kain/clang/include/frontend/ASTConsumers.h	2069	clang	move
clang/include/clang/Frontend/ASTUnit.h	llvm-kain/clang/include/frontend/ASTUnit.h	37240	clang	move
clang/include/clang/Frontend/ChainedDiagnosticConsumer.h	llvm-kain/clang/include/frontend/ChainedDiagnosticConsumer.h	2365	clang	move
clang/include/clang/Frontend/CommandLineSourceLoc.h	llvm-kain/clang/include/frontend/CommandLineSourceLoc.h	4865	clang	move
clang/include/clang/Frontend/CompilerInstance.h	llvm-kain/clang/include/frontend/CompilerInstance.h	35367	clang	move
clang/include/clang/Frontend/CompilerInvocation.h	llvm-kain/clang/include/frontend/CompilerInvocation.h	16837	clang	move
clang/include/clang/Frontend/DependencyOutputOptions.h	llvm-kain/clang/include/frontend/DependencyOutputOptions.h	4096	clang	move
clang/include/clang/Frontend/DiagnosticRenderer.h	llvm-kain/clang/include/frontend/DiagnosticRenderer.h	6814	clang	move
clang/include/clang/Frontend/FrontendAction.h	llvm-kain/clang/include/frontend/FrontendAction.h	12692	clang	move
clang/include/clang/Frontend/FrontendActions.h	llvm-kain/clang/include/frontend/FrontendActions.h	11965	clang	move
clang/include/clang/Frontend/FrontendDiagnostic.h	llvm-kain/clang/include/frontend/FrontendDiagnostic.h	521	clang	move
clang/include/clang/Frontend/FrontendOptions.h	llvm-kain/clang/include/frontend/FrontendOptions.h	17250	clang	move
clang/include/clang/Frontend/FrontendPluginRegistry.h	llvm-kain/clang/include/frontend/FrontendPluginRegistry.h	1026	clang	move
clang/include/clang/Frontend/LayoutOverrideSource.h	llvm-kain/clang/include/frontend/LayoutOverrideSource.h	2345	clang	move
clang/include/clang/Frontend/LogDiagnosticPrinter.h	llvm-kain/clang/include/frontend/LogDiagnosticPrinter.h	2380	clang	move
clang/include/clang/Frontend/MigratorOptions.h	llvm-kain/clang/include/frontend/MigratorOptions.h	969	clang	move
clang/include/clang/Frontend/MultiplexConsumer.h	llvm-kain/clang/include/frontend/MultiplexConsumer.h	3910	clang	move
clang/include/clang/Frontend/PCHContainerOperations.h	llvm-kain/clang/include/frontend/PCHContainerOperations.h	541	clang	move
clang/include/clang/Frontend/PrecompiledPreamble.h	llvm-kain/clang/include/frontend/PrecompiledPreamble.h	10753	clang	move
clang/include/clang/Frontend/PreprocessorOutputOptions.h	llvm-kain/clang/include/frontend/PreprocessorOutputOptions.h	2426	clang	move
clang/include/clang/Frontend/SARIFDiagnostic.h	llvm-kain/clang/include/frontend/SARIFDiagnostic.h	3229	clang	move
clang/include/clang/Frontend/SARIFDiagnosticPrinter.h	llvm-kain/clang/include/frontend/SARIFDiagnosticPrinter.h	2509	clang	move
clang/include/clang/Frontend/SerializedDiagnosticPrinter.h	llvm-kain/clang/include/frontend/SerializedDiagnosticPrinter.h	1417	clang	move
clang/include/clang/Frontend/SerializedDiagnosticReader.h	llvm-kain/clang/include/frontend/SerializedDiagnosticReader.h	4285	clang	move
clang/include/clang/Frontend/SerializedDiagnostics.h	llvm-kain/clang/include/frontend/SerializedDiagnostics.h	1505	clang	move
clang/include/clang/Frontend/SSAFOptions.h	llvm-kain/clang/include/frontend/SSAFOptions.h	1581	clang	move
clang/include/clang/Frontend/StandaloneDiagnostic.h	llvm-kain/clang/include/frontend/StandaloneDiagnostic.h	2902	clang	move
clang/include/clang/Frontend/TextDiagnostic.h	llvm-kain/clang/include/frontend/TextDiagnostic.h	5374	clang	move
clang/include/clang/Frontend/TextDiagnosticBuffer.h	llvm-kain/clang/include/frontend/TextDiagnosticBuffer.h	2485	clang	move
clang/include/clang/Frontend/TextDiagnosticPrinter.h	llvm-kain/clang/include/frontend/TextDiagnosticPrinter.h	1877	clang	move
clang/include/clang/Frontend/Utils.h	llvm-kain/clang/include/frontend/Utils.h	7634	clang	move
clang/include/clang/Frontend/VerifyDiagnosticConsumer.h	llvm-kain/clang/include/frontend/VerifyDiagnosticConsumer.h	6649	clang	move
clang/include/clang/FrontendTool/Utils.h	(keep-in-place)	1290	clang	keep-in-place
clang/include/clang/Lex/CodeCompletionHandler.h	llvm-kain/clang/include/lex/CodeCompletionHandler.h	3465	clang	move
clang/include/clang/Lex/DependencyDirectivesScanner.h	llvm-kain/clang/include/lex/DependencyDirectivesScanner.h	5589	clang	move
clang/include/clang/Lex/DirectoryLookup.h	llvm-kain/clang/include/lex/DirectoryLookup.h	7311	clang	move
clang/include/clang/Lex/ExternalPreprocessorSource.h	llvm-kain/clang/include/lex/ExternalPreprocessorSource.h	3029	clang	move
clang/include/clang/Lex/HeaderMap.h	llvm-kain/clang/include/lex/HeaderMap.h	3605	clang	move
clang/include/clang/Lex/HeaderMapTypes.h	llvm-kain/clang/include/lex/HeaderMapTypes.h	1482	clang	move
clang/include/clang/Lex/HeaderSearch.h	llvm-kain/clang/include/lex/HeaderSearch.h	44379	clang	move
clang/include/clang/Lex/HeaderSearchOptions.h	llvm-kain/clang/include/lex/HeaderSearchOptions.h	12426	clang	move
clang/include/clang/Lex/HLSLRootSignatureTokenKinds.def	llvm-kain/clang/include/lex/HLSLRootSignatureTokenKinds.def	10576	clang	move
clang/include/clang/Lex/LexDiagnostic.h	llvm-kain/clang/include/lex/LexDiagnostic.h	496	clang	move
clang/include/clang/Lex/Lexer.h	llvm-kain/clang/include/lex/Lexer.h	37845	clang	move
clang/include/clang/Lex/LexHLSLRootSignature.h	llvm-kain/clang/include/lex/LexHLSLRootSignature.h	3056	clang	move
clang/include/clang/Lex/LiteralSupport.h	llvm-kain/clang/include/lex/LiteralSupport.h	11513	clang	move
clang/include/clang/Lex/MacroArgs.h	llvm-kain/clang/include/lex/MacroArgs.h	5539	clang	move
clang/include/clang/Lex/MacroBase.h	llvm-kain/clang/include/lex/MacroBase.h	1445	clang	move
clang/include/clang/Lex/MacroInfo.h	llvm-kain/clang/include/lex/MacroInfo.h	21709	clang	move
clang/include/clang/Lex/ModuleLoader.h	llvm-kain/clang/include/lex/ModuleLoader.h	7559	clang	move
clang/include/clang/Lex/ModuleMap.h	llvm-kain/clang/include/lex/ModuleMap.h	33874	clang	move
clang/include/clang/Lex/ModuleMapFile.h	llvm-kain/clang/include/lex/ModuleMapFile.h	4666	clang	move
clang/include/clang/Lex/MultipleIncludeOpt.h	llvm-kain/clang/include/lex/MultipleIncludeOpt.h	6877	clang	move
clang/include/clang/Lex/NoTrivialPPDirectiveTracer.h	llvm-kain/clang/include/lex/NoTrivialPPDirectiveTracer.h	13102	clang	move
clang/include/clang/Lex/PPCallbacks.h	llvm-kain/clang/include/lex/PPCallbacks.h	32134	clang	move
clang/include/clang/Lex/PPConditionalDirectiveRecord.h	llvm-kain/clang/include/lex/PPConditionalDirectiveRecord.h	4292	clang	move
clang/include/clang/Lex/PPDirectiveParameter.h	llvm-kain/clang/include/lex/PPDirectiveParameter.h	998	clang	move
clang/include/clang/Lex/PPEmbedParameters.h	llvm-kain/clang/include/lex/PPEmbedParameters.h	2939	clang	move
clang/include/clang/Lex/Pragma.h	llvm-kain/clang/include/lex/Pragma.h	4711	clang	move
clang/include/clang/Lex/PreprocessingRecord.h	llvm-kain/clang/include/lex/PreprocessingRecord.h	21462	clang	move
clang/include/clang/Lex/Preprocessor.h	llvm-kain/clang/include/lex/Preprocessor.h	122970	clang	move
clang/include/clang/Lex/PreprocessorLexer.h	llvm-kain/clang/include/lex/PreprocessorLexer.h	6282	clang	move
clang/include/clang/Lex/PreprocessorOptions.h	llvm-kain/clang/include/lex/PreprocessorOptions.h	9574	clang	move
clang/include/clang/Lex/ScratchBuffer.h	llvm-kain/clang/include/lex/ScratchBuffer.h	1448	clang	move
clang/include/clang/Lex/Token.h	llvm-kain/clang/include/lex/Token.h	13380	clang	move
clang/include/clang/Lex/TokenConcatenation.h	llvm-kain/clang/include/lex/TokenConcatenation.h	2608	clang	move
clang/include/clang/Lex/TokenLexer.h	llvm-kain/clang/include/lex/TokenLexer.h	10706	clang	move
clang/include/clang/Lex/VariadicMacroSupport.h	llvm-kain/clang/include/lex/VariadicMacroSupport.h	9214	clang	move
clang/include/clang/Options/ClangOptionDocs.td	(keep-in-place)	1302	clang	keep-in-place
clang/include/clang/Options/CMakeLists.txt	(keep-in-place)	135	clang	keep-in-place
clang/include/clang/Options/FlangOptions.td	(keep-in-place)	24017	clang	keep-in-place
clang/include/clang/Options/Options.h	(keep-in-place)	1577	clang	keep-in-place
clang/include/clang/Options/Options.td	(keep-in-place)	570825	clang	keep-in-place
clang/include/clang/Options/OptionUtils.h	(keep-in-place)	3493	clang	keep-in-place
clang/include/clang/Parse/CMakeLists.txt	llvm-kain/clang/include/parse/CMakeLists.txt	427	clang	move
clang/include/clang/Parse/LoopHint.h	llvm-kain/clang/include/parse/LoopHint.h	1432	clang	move
clang/include/clang/Parse/ParseAST.h	llvm-kain/clang/include/parse/ParseAST.h	1880	clang	move
clang/include/clang/Parse/ParseHLSLRootSignature.h	llvm-kain/clang/include/parse/ParseHLSLRootSignature.h	10137	clang	move
clang/include/clang/Parse/Parser.h	llvm-kain/clang/include/parse/Parser.h	347375	clang	move
clang/include/clang/Parse/RAIIObjectsForParser.h	llvm-kain/clang/include/parse/RAIIObjectsForParser.h	15896	clang	move
clang/include/clang/Sema/AnalysisBasedWarnings.h	llvm-kain/clang/include/sema/AnalysisBasedWarnings.h	4118	clang	move
clang/include/clang/Sema/Attr.h	llvm-kain/clang/include/sema/Attr.h	7475	clang	move
clang/include/clang/Sema/CleanupInfo.h	llvm-kain/clang/include/sema/CleanupInfo.h	1311	clang	move
clang/include/clang/Sema/CMakeLists.txt	llvm-kain/clang/include/sema/CMakeLists.txt	883	clang	move
clang/include/clang/Sema/CodeCompleteConsumer.h	llvm-kain/clang/include/sema/CodeCompleteConsumer.h	45346	clang	move
clang/include/clang/Sema/CodeCompleteOptions.h	llvm-kain/clang/include/sema/CodeCompleteOptions.h	2126	clang	move
clang/include/clang/Sema/CXXFieldCollector.h	llvm-kain/clang/include/sema/CXXFieldCollector.h	2560	clang	move
clang/include/clang/Sema/DeclSpec.h	llvm-kain/clang/include/sema/DeclSpec.h	109427	clang	move
clang/include/clang/Sema/DelayedDiagnostic.h	llvm-kain/clang/include/sema/DelayedDiagnostic.h	11059	clang	move
clang/include/clang/Sema/Designator.h	llvm-kain/clang/include/sema/Designator.h	7332	clang	move
clang/include/clang/Sema/EnterExpressionEvaluationContext.h	llvm-kain/clang/include/sema/EnterExpressionEvaluationContext.h	2986	clang	move
clang/include/clang/Sema/ExternalSemaSource.h	llvm-kain/clang/include/sema/ExternalSemaSource.h	10679	clang	move
clang/include/clang/Sema/HeuristicResolver.h	llvm-kain/clang/include/sema/HeuristicResolver.h	4675	clang	move
clang/include/clang/Sema/HLSLExternalSemaSource.h	llvm-kain/clang/include/sema/HLSLExternalSemaSource.h	1814	clang	move
clang/include/clang/Sema/IdentifierResolver.h	llvm-kain/clang/include/sema/IdentifierResolver.h	6832	clang	move
clang/include/clang/Sema/Initialization.h	llvm-kain/clang/include/sema/Initialization.h	52405	clang	move
clang/include/clang/Sema/Lookup.h	llvm-kain/clang/include/sema/Lookup.h	29251	clang	move
clang/include/clang/Sema/MultiplexExternalSemaSource.h	llvm-kain/clang/include/sema/MultiplexExternalSemaSource.h	17261	clang	move
clang/include/clang/Sema/ObjCMethodList.h	llvm-kain/clang/include/sema/ObjCMethodList.h	2268	clang	move
clang/include/clang/Sema/Overload.h	llvm-kain/clang/include/sema/Overload.h	56528	clang	move
clang/include/clang/Sema/Ownership.h	llvm-kain/clang/include/sema/Ownership.h	9291	clang	move
clang/include/clang/Sema/ParsedAttr.h	llvm-kain/clang/include/sema/ParsedAttr.h	41139	clang	move
clang/include/clang/Sema/ParsedTemplate.h	llvm-kain/clang/include/sema/ParsedTemplate.h	10365	clang	move
clang/include/clang/Sema/Redeclaration.h	llvm-kain/clang/include/sema/Redeclaration.h	1250	clang	move
clang/include/clang/Sema/RISCVIntrinsicManager.h	llvm-kain/clang/include/sema/RISCVIntrinsicManager.h	1284	clang	move
clang/include/clang/Sema/Scope.h	llvm-kain/clang/include/sema/Scope.h	23024	clang	move
clang/include/clang/Sema/ScopeInfo.h	llvm-kain/clang/include/sema/ScopeInfo.h	39706	clang	move
clang/include/clang/Sema/Sema.h	llvm-kain/clang/include/sema/Sema.h	705579	clang	move
clang/include/clang/Sema/SemaAMDGPU.h	llvm-kain/clang/include/sema/SemaAMDGPU.h	3980	clang	move
clang/include/clang/Sema/SemaARM.h	llvm-kain/clang/include/sema/SemaARM.h	4926	clang	move
clang/include/clang/Sema/SemaAVR.h	llvm-kain/clang/include/sema/SemaAVR.h	943	clang	move
clang/include/clang/Sema/SemaBase.h	llvm-kain/clang/include/sema/SemaBase.h	8510	clang	move
clang/include/clang/Sema/SemaBPF.h	llvm-kain/clang/include/sema/SemaBPF.h	1019	clang	move
clang/include/clang/Sema/SemaCodeCompletion.h	llvm-kain/clang/include/sema/SemaCodeCompletion.h	11847	clang	move
clang/include/clang/Sema/SemaConcept.h	llvm-kain/clang/include/sema/SemaConcept.h	18258	clang	move
clang/include/clang/Sema/SemaConsumer.h	llvm-kain/clang/include/sema/SemaConsumer.h	1521	clang	move
clang/include/clang/Sema/SemaCUDA.h	llvm-kain/clang/include/sema/SemaCUDA.h	13604	clang	move
clang/include/clang/Sema/SemaDiagnostic.h	llvm-kain/clang/include/sema/SemaDiagnostic.h	501	clang	move
clang/include/clang/Sema/SemaDirectX.h	llvm-kain/clang/include/sema/SemaDirectX.h	904	clang	move
clang/include/clang/Sema/SemaFixItUtils.h	llvm-kain/clang/include/sema/SemaFixItUtils.h	3286	clang	move
clang/include/clang/Sema/SemaHexagon.h	llvm-kain/clang/include/sema/SemaHexagon.h	986	clang	move
clang/include/clang/Sema/SemaHLSL.h	llvm-kain/clang/include/sema/SemaHLSL.h	14812	clang	move
clang/include/clang/Sema/SemaInternal.h	llvm-kain/clang/include/sema/SemaInternal.h	12841	clang	move
clang/include/clang/Sema/SemaLambda.h	llvm-kain/clang/include/sema/SemaLambda.h	1333	clang	move
clang/include/clang/Sema/SemaLoongArch.h	llvm-kain/clang/include/sema/SemaLoongArch.h	1007	clang	move
clang/include/clang/Sema/SemaM68k.h	llvm-kain/clang/include/sema/SemaM68k.h	892	clang	move
clang/include/clang/Sema/SemaMIPS.h	llvm-kain/clang/include/sema/SemaMIPS.h	1232	clang	move
clang/include/clang/Sema/SemaMSP430.h	llvm-kain/clang/include/sema/SemaMSP430.h	904	clang	move
clang/include/clang/Sema/SemaNVPTX.h	llvm-kain/clang/include/sema/SemaNVPTX.h	975	clang	move
clang/include/clang/Sema/SemaObjC.h	llvm-kain/clang/include/sema/SemaObjC.h	48614	clang	move
clang/include/clang/Sema/SemaOpenACC.h	llvm-kain/clang/include/sema/SemaOpenACC.h	48419	clang	move
clang/include/clang/Sema/SemaOpenCL.h	llvm-kain/clang/include/sema/SemaOpenCL.h	4503	clang	move
clang/include/clang/Sema/SemaOpenMP.h	llvm-kain/clang/include/sema/SemaOpenMP.h	88253	clang	move
clang/include/clang/Sema/SemaPPC.h	llvm-kain/clang/include/sema/SemaPPC.h	2814	clang	move
clang/include/clang/Sema/SemaPseudoObject.h	llvm-kain/clang/include/sema/SemaPseudoObject.h	1355	clang	move
clang/include/clang/Sema/SemaRISCV.h	llvm-kain/clang/include/sema/SemaRISCV.h	2516	clang	move
clang/include/clang/Sema/SemaSPIRV.h	llvm-kain/clang/include/sema/SemaSPIRV.h	949	clang	move
clang/include/clang/Sema/SemaSwift.h	llvm-kain/clang/include/sema/SemaSwift.h	2142	clang	move
clang/include/clang/Sema/SemaSYCL.h	llvm-kain/clang/include/sema/SemaSYCL.h	4634	clang	move
clang/include/clang/Sema/SemaSystemZ.h	llvm-kain/clang/include/sema/SemaSystemZ.h	911	clang	move
clang/include/clang/Sema/SemaWasm.h	llvm-kain/clang/include/sema/SemaWasm.h	2042	clang	move
clang/include/clang/Sema/SemaX86.h	llvm-kain/clang/include/sema/SemaX86.h	1914	clang	move
clang/include/clang/Sema/Template.h	llvm-kain/clang/include/sema/Template.h	29018	clang	move
clang/include/clang/Sema/TemplateDeduction.h	llvm-kain/clang/include/sema/TemplateDeduction.h	13845	clang	move
clang/include/clang/Sema/TemplateInstCallback.h	llvm-kain/clang/include/sema/TemplateInstCallback.h	2618	clang	move
clang/include/clang/Sema/TypoCorrection.h	llvm-kain/clang/include/sema/TypoCorrection.h	16676	clang	move
clang/include/clang/Sema/Weak.h	llvm-kain/clang/include/sema/Weak.h	1729	clang	move
clang/include/clang/Serialization/ASTBitCodes.h	llvm-kain/clang/include/serialization/ASTBitCodes.h	62992	clang	move
clang/include/clang/Serialization/ASTDeserializationListener.h	llvm-kain/clang/include/serialization/ASTDeserializationListener.h	5018	clang	move
clang/include/clang/Serialization/ASTReader.h	llvm-kain/clang/include/serialization/ASTReader.h	107866	clang	move
clang/include/clang/Serialization/ASTRecordReader.h	llvm-kain/clang/include/serialization/ASTRecordReader.h	12413	clang	move
clang/include/clang/Serialization/ASTRecordWriter.h	llvm-kain/clang/include/serialization/ASTRecordWriter.h	10999	clang	move
clang/include/clang/Serialization/ASTWriter.h	llvm-kain/clang/include/serialization/ASTWriter.h	44960	clang	move
clang/include/clang/Serialization/CMakeLists.txt	llvm-kain/clang/include/serialization/CMakeLists.txt	302	clang	move
clang/include/clang/Serialization/ContinuousRangeMap.h	llvm-kain/clang/include/serialization/ContinuousRangeMap.h	4458	clang	move
clang/include/clang/Serialization/GlobalModuleIndex.h	llvm-kain/clang/include/serialization/GlobalModuleIndex.h	6567	clang	move
clang/include/clang/Serialization/InMemoryModuleCache.h	llvm-kain/clang/include/serialization/InMemoryModuleCache.h	4502	clang	move
clang/include/clang/Serialization/ModuleCache.h	llvm-kain/clang/include/serialization/ModuleCache.h	4517	clang	move
clang/include/clang/Serialization/ModuleFile.h	llvm-kain/clang/include/serialization/ModuleFile.h	19248	clang	move
clang/include/clang/Serialization/ModuleFileExtension.h	llvm-kain/clang/include/serialization/ModuleFileExtension.h	5294	clang	move
clang/include/clang/Serialization/ModuleManager.h	llvm-kain/clang/include/serialization/ModuleManager.h	11782	clang	move
clang/include/clang/Serialization/ObjectFilePCHContainerReader.h	llvm-kain/clang/include/serialization/ObjectFilePCHContainerReader.h	981	clang	move
clang/include/clang/Serialization/PCHContainerOperations.h	llvm-kain/clang/include/serialization/PCHContainerOperations.h	4301	clang	move
clang/include/clang/Serialization/SerializationDiagnostic.h	llvm-kain/clang/include/serialization/SerializationDiagnostic.h	545	clang	move
clang/include/clang/Serialization/SourceLocationEncoding.h	llvm-kain/clang/include/serialization/SourceLocationEncoding.h	3921	clang	move
clang/include/clang/Serialization/TypeBitCodes.def	llvm-kain/clang/include/serialization/TypeBitCodes.def	3507	clang	move
clang/lib/CMakeLists.txt	(keep-in-place)	363	clang	keep-in-place
clang/lib/Analysis/AnalysisDeclContext.cpp	llvm-kain/clang/src/analysis/AnalysisDeclContext.cpp	20194	clang	move
clang/lib/Analysis/AnnexKDetection.cpp	llvm-kain/clang/src/analysis/AnnexKDetection.cpp	1359	clang	move
clang/lib/Analysis/BodyFarm.cpp	llvm-kain/clang/src/analysis/BodyFarm.cpp	32792	clang	move
clang/lib/Analysis/CalledOnceCheck.cpp	llvm-kain/clang/src/analysis/CalledOnceCheck.cpp	66698	clang	move
clang/lib/Analysis/CallGraph.cpp	llvm-kain/clang/src/analysis/CallGraph.cpp	7836	clang	move
clang/lib/Analysis/CFG.cpp	llvm-kain/clang/src/analysis/CFG.cpp	224480	clang	move
clang/lib/Analysis/CFGBackEdges.cpp	llvm-kain/clang/src/analysis/CFGBackEdges.cpp	3343	clang	move
clang/lib/Analysis/CFGReachabilityAnalysis.cpp	llvm-kain/clang/src/analysis/CFGReachabilityAnalysis.cpp	2579	clang	move
clang/lib/Analysis/CFGStmtMap.cpp	llvm-kain/clang/src/analysis/CFGStmtMap.cpp	1769	clang	move
clang/lib/Analysis/CloneDetection.cpp	llvm-kain/clang/src/analysis/CloneDetection.cpp	22634	clang	move
clang/lib/Analysis/CMakeLists.txt	llvm-kain/clang/src/analysis/CMakeLists.txt	994	clang	move
clang/lib/Analysis/CocoaConventions.cpp	llvm-kain/clang/src/analysis/CocoaConventions.cpp	4568	clang	move
clang/lib/Analysis/CodeInjector.cpp	llvm-kain/clang/src/analysis/CodeInjector.cpp	501	clang	move
clang/lib/Analysis/ConstructionContext.cpp	llvm-kain/clang/src/analysis/ConstructionContext.cpp	9890	clang	move
clang/lib/Analysis/Consumed.cpp	llvm-kain/clang/src/analysis/Consumed.cpp	44011	clang	move
clang/lib/Analysis/Dominators.cpp	llvm-kain/clang/src/analysis/Dominators.cpp	611	clang	move
clang/lib/Analysis/ExprMutationAnalyzer.cpp	llvm-kain/clang/src/analysis/ExprMutationAnalyzer.cpp	36382	clang	move
clang/lib/Analysis/FixitUtil.cpp	llvm-kain/clang/src/analysis/FixitUtil.cpp	9280	clang	move
clang/lib/Analysis/IntervalPartition.cpp	llvm-kain/clang/src/analysis/IntervalPartition.cpp	8820	clang	move
clang/lib/Analysis/IssueHash.cpp	llvm-kain/clang/src/analysis/IssueHash.cpp	6300	clang	move
clang/lib/Analysis/LiveVariables.cpp	llvm-kain/clang/src/analysis/LiveVariables.cpp	23112	clang	move
clang/lib/Analysis/MacroExpansionContext.cpp	llvm-kain/clang/src/analysis/MacroExpansionContext.cpp	8334	clang	move
clang/lib/Analysis/ObjCNoReturn.cpp	llvm-kain/clang/src/analysis/ObjCNoReturn.cpp	1966	clang	move
clang/lib/Analysis/PathDiagnostic.cpp	llvm-kain/clang/src/analysis/PathDiagnostic.cpp	44274	clang	move
clang/lib/Analysis/PostOrderCFGView.cpp	llvm-kain/clang/src/analysis/PostOrderCFGView.cpp	3022	clang	move
clang/lib/Analysis/ProgramPoint.cpp	llvm-kain/clang/src/analysis/ProgramPoint.cpp	11685	clang	move
clang/lib/Analysis/ReachableCode.cpp	llvm-kain/clang/src/analysis/ReachableCode.cpp	27181	clang	move
clang/lib/Analysis/RetainSummaryManager.cpp	llvm-kain/clang/src/analysis/RetainSummaryManager.cpp	48716	clang	move
clang/lib/Analysis/ThreadSafety.cpp	llvm-kain/clang/src/analysis/ThreadSafety.cpp	111179	clang	move
clang/lib/Analysis/ThreadSafetyCommon.cpp	llvm-kain/clang/src/analysis/ThreadSafetyCommon.cpp	41739	clang	move
clang/lib/Analysis/ThreadSafetyLogical.cpp	llvm-kain/clang/src/analysis/ThreadSafetyLogical.cpp	4198	clang	move
clang/lib/Analysis/ThreadSafetyTIL.cpp	llvm-kain/clang/src/analysis/ThreadSafetyTIL.cpp	11355	clang	move
clang/lib/Analysis/UninitializedValues.cpp	llvm-kain/clang/src/analysis/UninitializedValues.cpp	32861	clang	move
clang/lib/Analysis/UnsafeBufferUsage.cpp	llvm-kain/clang/src/analysis/UnsafeBufferUsage.cpp	176178	clang	move
clang/lib/Analysis/FlowSensitive/AdornedCFG.cpp	llvm-kain/clang/src/analysis/FlowSensitive/AdornedCFG.cpp	6703	clang	move
clang/lib/Analysis/FlowSensitive/Arena.cpp	llvm-kain/clang/src/analysis/FlowSensitive/Arena.cpp	6334	clang	move
clang/lib/Analysis/FlowSensitive/ASTOps.cpp	llvm-kain/clang/src/analysis/FlowSensitive/ASTOps.cpp	11202	clang	move
clang/lib/Analysis/FlowSensitive/CMakeLists.txt	llvm-kain/clang/src/analysis/FlowSensitive/CMakeLists.txt	1160	clang	move
clang/lib/Analysis/FlowSensitive/CNFFormula.cpp	llvm-kain/clang/src/analysis/FlowSensitive/CNFFormula.cpp	11039	clang	move
clang/lib/Analysis/FlowSensitive/DataflowAnalysisContext.cpp	llvm-kain/clang/src/analysis/FlowSensitive/DataflowAnalysisContext.cpp	16929	clang	move
clang/lib/Analysis/FlowSensitive/DataflowEnvironment.cpp	llvm-kain/clang/src/analysis/FlowSensitive/DataflowEnvironment.cpp	48142	clang	move
clang/lib/Analysis/FlowSensitive/DebugSupport.cpp	llvm-kain/clang/src/analysis/FlowSensitive/DebugSupport.cpp	2461	clang	move
clang/lib/Analysis/FlowSensitive/Formula.cpp	llvm-kain/clang/src/analysis/FlowSensitive/Formula.cpp	2759	clang	move
clang/lib/Analysis/FlowSensitive/FormulaSerialization.cpp	llvm-kain/clang/src/analysis/FlowSensitive/FormulaSerialization.cpp	6859	clang	move
clang/lib/Analysis/FlowSensitive/HTMLLogger.cpp	llvm-kain/clang/src/analysis/FlowSensitive/HTMLLogger.cpp	21852	clang	move
clang/lib/Analysis/FlowSensitive/HTMLLogger.css	llvm-kain/clang/src/analysis/FlowSensitive/HTMLLogger.css	3531	clang	move
clang/lib/Analysis/FlowSensitive/HTMLLogger.html	llvm-kain/clang/src/analysis/FlowSensitive/HTMLLogger.html	4015	clang	move
clang/lib/Analysis/FlowSensitive/HTMLLogger.js	llvm-kain/clang/src/analysis/FlowSensitive/HTMLLogger.js	8438	clang	move
clang/lib/Analysis/FlowSensitive/Logger.cpp	llvm-kain/clang/src/analysis/FlowSensitive/Logger.cpp	3885	clang	move
clang/lib/Analysis/FlowSensitive/RecordOps.cpp	llvm-kain/clang/src/analysis/FlowSensitive/RecordOps.cpp	7596	clang	move
clang/lib/Analysis/FlowSensitive/SimplifyConstraints.cpp	llvm-kain/clang/src/analysis/FlowSensitive/SimplifyConstraints.cpp	6329	clang	move
clang/lib/Analysis/FlowSensitive/SmartPointerAccessorCaching.cpp	llvm-kain/clang/src/analysis/FlowSensitive/SmartPointerAccessorCaching.cpp	6539	clang	move
clang/lib/Analysis/FlowSensitive/Transfer.cpp	llvm-kain/clang/src/analysis/FlowSensitive/Transfer.cpp	36542	clang	move
clang/lib/Analysis/FlowSensitive/TypeErasedDataflowAnalysis.cpp	llvm-kain/clang/src/analysis/FlowSensitive/TypeErasedDataflowAnalysis.cpp	24771	clang	move
clang/lib/Analysis/FlowSensitive/Value.cpp	llvm-kain/clang/src/analysis/FlowSensitive/Value.cpp	2113	clang	move
clang/lib/Analysis/FlowSensitive/WatchedLiteralsSolver.cpp	llvm-kain/clang/src/analysis/FlowSensitive/WatchedLiteralsSolver.cpp	16201	clang	move
