current_path	target_path	size_bytes	area	action
clang/include/clang/Analysis/Analyses/LifetimeSafety/MovedLoans.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/MovedLoans.h	1823	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/Origins.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/Origins.h	8780	clang	move
clang/include/clang/Analysis/Analyses/LifetimeSafety/Utils.h	llvm-kain/clang/include/analysis/Analyses/LifetimeSafety/Utils.h	4183	clang	move
clang/include/clang/Analysis/DomainSpecific/CocoaConventions.h	llvm-kain/clang/include/analysis/DomainSpecific/CocoaConventions.h	1082	clang	move
clang/include/clang/Analysis/DomainSpecific/ObjCNoReturn.h	llvm-kain/clang/include/analysis/DomainSpecific/ObjCNoReturn.h	1323	clang	move
clang/include/clang/Analysis/FlowSensitive/AdornedCFG.h	llvm-kain/clang/include/analysis/FlowSensitive/AdornedCFG.h	4088	clang	move
clang/include/clang/Analysis/FlowSensitive/Arena.h	llvm-kain/clang/include/analysis/FlowSensitive/Arena.h	6365	clang	move
clang/include/clang/Analysis/FlowSensitive/ASTOps.h	llvm-kain/clang/include/analysis/FlowSensitive/ASTOps.h	6784	clang	move
clang/include/clang/Analysis/FlowSensitive/CachedConstAccessorsLattice.h	llvm-kain/clang/include/analysis/FlowSensitive/CachedConstAccessorsLattice.h	7983	clang	move
clang/include/clang/Analysis/FlowSensitive/CFGMatchSwitch.h	llvm-kain/clang/include/analysis/FlowSensitive/CFGMatchSwitch.h	3702	clang	move
clang/include/clang/Analysis/FlowSensitive/CNFFormula.h	llvm-kain/clang/include/analysis/FlowSensitive/CNFFormula.h	6516	clang	move
clang/include/clang/Analysis/FlowSensitive/DataflowAnalysis.h	llvm-kain/clang/include/analysis/FlowSensitive/DataflowAnalysis.h	17920	clang	move
clang/include/clang/Analysis/FlowSensitive/DataflowAnalysisContext.h	llvm-kain/clang/include/analysis/FlowSensitive/DataflowAnalysisContext.h	14735	clang	move
clang/include/clang/Analysis/FlowSensitive/DataflowEnvironment.h	llvm-kain/clang/include/analysis/FlowSensitive/DataflowEnvironment.h	36423	clang	move
clang/include/clang/Analysis/FlowSensitive/DataflowLattice.h	llvm-kain/clang/include/analysis/FlowSensitive/DataflowLattice.h	1066	clang	move
clang/include/clang/Analysis/FlowSensitive/DataflowValues.h	llvm-kain/clang/include/analysis/FlowSensitive/DataflowValues.h	7240	clang	move
clang/include/clang/Analysis/FlowSensitive/DataflowWorklist.h	llvm-kain/clang/include/analysis/FlowSensitive/DataflowWorklist.h	3743	clang	move
clang/include/clang/Analysis/FlowSensitive/DebugSupport.h	llvm-kain/clang/include/analysis/FlowSensitive/DebugSupport.h	1267	clang	move
clang/include/clang/Analysis/FlowSensitive/Formula.h	llvm-kain/clang/include/analysis/FlowSensitive/Formula.h	5027	clang	move
clang/include/clang/Analysis/FlowSensitive/FormulaSerialization.h	llvm-kain/clang/include/analysis/FlowSensitive/FormulaSerialization.h	1603	clang	move
clang/include/clang/Analysis/FlowSensitive/Logger.h	llvm-kain/clang/include/analysis/FlowSensitive/Logger.h	3587	clang	move
clang/include/clang/Analysis/FlowSensitive/MapLattice.h	llvm-kain/clang/include/analysis/FlowSensitive/MapLattice.h	4895	clang	move
clang/include/clang/Analysis/FlowSensitive/MatchSwitch.h	llvm-kain/clang/include/analysis/FlowSensitive/MatchSwitch.h	6933	clang	move
clang/include/clang/Analysis/FlowSensitive/NoopAnalysis.h	llvm-kain/clang/include/analysis/FlowSensitive/NoopAnalysis.h	1497	clang	move
clang/include/clang/Analysis/FlowSensitive/NoopLattice.h	llvm-kain/clang/include/analysis/FlowSensitive/NoopLattice.h	1732	clang	move
